t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0.26	0.999861	1.00008	0.42833	0.974046	0.0001	5
0.261	0.99986	1.00008	0.426229	0.973948	0.0001	5
0.262	0.99986	1.00008	0.424129	0.97385	0.0001	5
0.263	0.999859	1.00008	0.42203	0.973752	0.0001	5
0.264	0.999859	1.00008	0.419932	0.973653	0.0001	5
0.265	0.999858	1.00008	0.417834	0.973555	0.0001	5
0.266	0.999858	1.00008	0.415737	0.973457	0.0001	5
0.267	0.999857	1.00008	0.413641	0.973359	0.0001	5
0.268	0.999856	1.00008	0.411546	0.973261	0.0001	5
0.269	0.999856	1.00008	0.409451	0.973164	0.0001	5
0.27	0.999855	1.00008	0.407357	0.973066	0.0001	5
0.271	0.999855	1.00008	0.405264	0.972968	0.0001	5
0.272	0.999854	1.00008	0.403171	0.97287	0.0001	5
0.273	0.999854	1.00008	0.40108	0.972772	0.0001	5
0.274	0.999853	1.00008	0.398989	0.972674	0.0001	5
0.275	0.999853	1.00009	0.396898	0.972576	0.0001	5
0.276	0.999852	1.00009	0.394809	0.972478	0.0001	5
0.277	0.999852	1.00009	0.39272	0.97238	0.0001	5
0.278	0.999851	1.00009	0.390632	0.972282	0.0001	5
0.279	0.999851	1.00009	0.388544	0.972185	0.0001	5
0.28	0.99985	1.00009	0.386458	0.972087	0.0001	5
0.281	0.99985	1.00009	0.384372	0.971989	0.0001	5
0.282	0.999849	1.00009	0.382287	0.971891	0.0001	5
0.283	0.999848	1.00009	0.380202	0.971793	0.0001	5
0.284	0.999848	1.00009	0.378119	0.971696	0.0001	5
0.285	0.999847	1.00009	0.376036	0.971598	0.0001	5
0.286	0.999847	1.00009	0.373953	0.9715	0.0001	5
0.287	0.999846	1.00009	0.371872	0.971402	0.0001	5
0.288	0.999846	1.00009	0.369791	0.971305	0.0001	5
0.289	0.999845	1.00009	0.367711	0.971207	0.0001	5
0.29	0.999845	1.00009	0.365632	0.971109	0.0001	5
0.291	0.999844	1.00009	0.363553	0.971012	0.0001	5
0.292	0.999844	1.00009	0.361475	0.970914	0.0001	5
0.293	0.999843	1.00009	0.359398	0.970816	0.0001	5
0.294	0.999843	1.00009	0.357322	0.970719	0.0001	5
0.295	0.999842	1.00009	0.355246	0.970621	0.0001	5
0.296	0.999841	1.00009	0.353171	0.970524	0.0001	5
0.297	0.999841	1.00009	0.351097	0.970426	0.0001	5
0.298	0.99984	1.00009	0.349023	0.970328	0.0001	5
0.299	0.99984	1.00009	0.346951	0.970231	0.0001	5
0.3	0.999839	1.00009	0.344879	0.970133	0.0001	5
0.301	0.999839	1.00009	0.342807	0.970036	0.0001	5
0.302	0.999838	1.00009	0.340737	0.969938	0.0001	5
0.303	0.999838	1.00009	0.338667	0.969841	0.0001	5
0.304	0.999837	1.00009	0.336598	0.969743	0.0001	5
0.305	0.999837	1.00009	0.334529	0.969646	0.0001	5
0.306	0.999836	1.00009	0.332462	0.969548	0.0001	5
0.307	0.999836	1.0001	0.330395	0.969451	0.0001	5
0.308	0.999835	1.0001	0.328329	0.969353	0.0001	5
0.309	0.999835	1.0001	0.326263	0.969256	0.0001	5
0.31	0.999834	1.0001	0.324198	0.969158	0.0001	5
0.311	0.999833	1.0001	0.322134	0.969061	0.0001	5
0.312	0.999833	1.0001	0.320071	0.968964	0.0001	5
0.313	0.999832	1.0001	0.318009	0.968866	0.0001	5
